Indicator,Latitude,Longitude
fast_food,41.92963082,-87.8841456
parking,41.93336686956521739130434783,-87.88442396086956521739130435
parking,41.98493688,-87.85812948
fast_food,41.92678508571428571428571429,-87.88392405714285714285714286
parking,41.92976225,-87.88426965555555555555555556
parking,41.92922721666666666666666667,-87.88418045
shelter,41.91439198,-87.90637358
parking,41.91480398888888888888888889,-87.90660477777777777777777778
parking,41.91412191666666666666666667,-87.9070174
shelter,41.936486525,-87.86372201
place_of_worship,41.88339082,-87.83576816
parking,41.88043830869565217391304348,-87.83470578260869565217391304
parking,41.9586424,-87.7899639625
parking,41.95878808,-87.78952188
parking,41.95774123636363636363636364,-87.78744317272727272727272727
parking,41.9580401875,-87.7896174625
parking,41.95929844615384615384615385,-87.79012975384615384615384615
parking,41.95802868,-87.78766274
parking,41.95775851666666666666666667,-87.78903289166666666666666667
parking,41.95983457142857142857142857,-87.79070631428571428571428571
college,41.95847994615384615384615385,-87.78855396153846153846153846
parking,42.01267369090909090909090909,-87.76702295454545454545454545
parking,42.01244022222222222222222222,-87.76984633333333333333333333
parking,41.86037148,-87.61042586
parking,41.8597754875,-87.6098445875
parking,41.86123816666666666666666667,-87.60988716666666666666666667
parking,41.86500398,-87.64004272
parking,41.86317136,-87.63998722
parking,41.86585968888888888888888889,-87.63979665555555555555555556
public_building,41.98650478,-87.92422726
parking,41.98829598,-87.92630563
parking,41.98792461875,-87.92371016875
parking,41.99051731428571428571428571,-87.92556038571428571428571429
parking,41.98061842,-87.90607441
parking,41.97760422222222222222222222,-87.90642934444444444444444444
parking,41.995493295,-87.9137761575
parking,41.99151034444444444444444444,-87.91452368888888888888888889
parking,41.99394608333333333333333333,-87.91307411666666666666666667
parking,41.99600086666666666666666667,-87.9238414
parking,41.98850246,-87.91575296
parking,41.98829285,-87.91833117142857142857142857
parking,41.98864188571428571428571429,-87.92412071428571428571428571
parking,41.99428937142857142857142857,-87.92739571428571428571428571
parking,41.99816434,-87.91765568
parking,41.976990675,-87.88003025
college,41.75612904444444444444444444,-87.72328754444444444444444444
parking,41.94783146,-87.90968934
parking,41.94701713,-87.90821949
grave_yard,41.93499312380952380952380952,-87.84175945238095238095238095
grave_yard,41.93282262,-87.83185758
bank,41.9371985625,-87.8348308625
fuel,41.93739627777777777777777778,-87.83421581111111111111111111
pharmacy,41.93539028181818181818181818,-87.83549488181818181818181818
school,41.94264748571428571428571429,-87.81351881428571428571428571
parking,41.93511732,-87.83318446
parking,41.9373279,-87.83335845555555555555555556
parking,41.93742726,-87.82730574
parking,41.93674505,-87.8289814
parking,41.9360819,-87.82866076
parking,41.93635778,-87.82758368
bank,41.94509372222222222222222222,-87.80657393333333333333333333
school,41.94324498,-87.8066283
pharmacy,41.81667351176470588235294118,-87.87016962941176470588235294
cafe,41.8176371,-87.86938588888888888888888889
fast_food,41.7240815,-87.79820742
fast_food,41.92869386,-87.86440574
school,41.68704847692307692307692308,-87.5374588
grave_yard,41.66061607142857142857142857,-87.72423525714285714285714286
fast_food,41.93529602,-87.88453566
police,41.90303167777777777777777778,-87.6436086
townhall,41.88378049629629629629629630,-87.63186230370370370370370370
parking,41.88479454,-87.62671464
storage,41.99826324545454545454545455,-87.72133910909090909090909091
fuel,41.99756797142857142857142857,-87.71977635714285714285714286
grave_yard,42.00504152,-87.72506866
place_of_worship,41.99719786774193548387096774,-87.70609421935483870967741935
parking,41.99758168333333333333333333,-87.7215368
parking,41.9970010,-87.72123038
fuel,42.00419802307692307692307692,-87.72917755384615384615384615
pharmacy,42.01250571666666666666666667,-87.76809706666666666666666667
parking,42.01298095555555555555555556,-87.76826614444444444444444444
parking,42.01237108571428571428571429,-87.76882861428571428571428571
parking,42.01323758333333333333333333,-87.76923043333333333333333333
school,42.01706145714285714285714286,-87.68610474285714285714285714
parking,42.01053741666666666666666667,-87.76854551666666666666666667
parking,41.99680865555555555555555556,-87.71523586666666666666666667
bank,41.9977348,-87.71852291
parking,42.02605645714285714285714286,-87.77392597142857142857142857
library,41.91257055384615384615384615,-87.68036711538461538461538462
