Indicator,Latitude,Longitude
restaurant,34.15675141428571428571428571,-118.3270168714285714285714286
parking,34.15660167333333333333333333,-118.32314884
parking,34.00995778,-118.49498688
parking,34.00947364,-118.49450248
parking,34.00904306,-118.49405152
parking,34.00740664285714285714285714,-118.4923542285714285714285714
marketplace,34.04700247142857142857142857,-118.2531628571428571428571429
school,34.0822364,-118.16898793
school,34.0883558875,-118.15464915
parking,33.88466401,-118.41166909
place_of_worship,34.16846202105263157894736842,-118.3326948052631578947368421
parking,34.17394302857142857142857143,-118.3277342714285714285714286
parking,34.12260625714285714285714286,-118.2252399285714285714285714
parking,34.08310218333333333333333333,-118.225062575
parking,34.08506625714285714285714286,-118.1498932285714285714285714
school,34.165893425,-118.34420015
parking,34.17972573333333333333333333,-118.31581765
parking,34.11532125,-118.15555799
parking,34.11633658571428571428571429,-118.1535514928571428571428571
parking,34.11541576666666666666666667,-118.151311025
parking,34.11313892857142857142857143,-118.1510299785714285714285714
parking,34.11163469166666666666666667,-118.1511953416666666666666667
parking,34.1104443,-118.15368024
school,34.10892121521739130434782609,-118.1556783739130434782608696
fast_food,34.11742457777777777777777778,-118.1499151629629629629629630
parking,33.9822739,-118.4270787363636363636363636
parking,34.11525862,-118.14930108
parking,34.11461622,-118.1494144
bank,34.11464146666666666666666667,-118.1499414666666666666666667
parking,34.11627806,-118.14939374
university,34.2090175,-118.3422968857142857142857143
parking,34.11588065714285714285714286,-118.1494310428571428571428571
parking,34.11749672222222222222222222,-118.1506948777777777777777778
parking,34.11705112857142857142857143,-118.1510826714285714285714286
restaurant,34.11870344545454545454545455,-118.1505809272727272727272727
parking,34.2096953,-118.34072026
parking,34.20847637142857142857142857,-118.3418928714285714285714286
parking,34.2098804,-118.3424370727272727272727273
parking,34.20786655714285714285714286,-118.3401177285714285714285714
parking,34.20668750909090909090909091,-118.3406919727272727272727273
parking,34.12030025862068965517241379,-118.1494035482758620689655172
parking,34.11537355555555555555555556,-118.1628046666666666666666667
restaurant,34.11016906,-118.15073796
bank,34.11073976666666666666666667,-118.1508274888888888888888889
parking,34.11029397142857142857142857,-118.1509449
bank,34.11505122727272727272727273,-118.1507240590909090909090909
parking,34.15544093333333333333333333,-118.3463759777777777777777778
bank,34.11469649411764705882352941,-118.1506555352941176470588235
cinema,34.11402599047619047619047619,-118.1507026666666666666666667
school,34.03923268,-118.48517368
parking,34.10814282,-118.15607952
school,34.09588208571428571428571429,-118.15921065
